species,card_short_name,count,gene_list
Shigella dysenteriae,evgS,6,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,Ecol_mdfA,2,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,APH(6)-Id,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,AcrE,2,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,PmrF,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,acrD,2,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,AcrF,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,APH(3'')-Ib,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,sul2,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
Shigella dysenteriae,mdtG,1,"['emrB', 'evgS', 'mdtG', 'Ecol_EFTu_PLV', 'AcrF', 'acrD', 'AcrE', 'cpxA', 'aadA', ""APH(3'')-Ib"", 'EC-14', 'Ecol_mdfA', 'emrR', 'AcrS', 'APH(6)-Id', 'sul2', 'PmrF']"
