Prevalence Sequence ID,CARD Short Name,species_count
75395,VEB-5,5
94771,IMP-27,5
42865,sul2,5
11355,AAC(6')-Ib10,5
6281,emrY,5
6823,OXA-9,5
99323,arr-3,5
64564,TEM-206,5
45233,ANT(3'')-IIa,5
149355,aad(6),5
149358,fusC,5
6787,Ecol_soxS_MULT,5
22382,APH(4)-Ia,5
18500,aadA3,5
6777,mdtE,5
18499,qacEdelta1,5
7674,AAC(6')-Ib-cr5,5
56075,dfrA6,5
7756,aadA24,5
22879,APH(6)-Id,5
2747,tet(M),5
62584,ANT3Ii_AAC6_IID,5
62460,aadA24,5
22955,APH(3'')-Ib,5
62431,AAC(3)-IIc,5
61279,sul1,5
1224,tet(45),5
6679,Ecol_EFTu_PLV,5
8381,tet(A),5
8577,SHV-12,5
6754,CRP,5
124849,qacG,5
68409,TEM-1,5
7239,OXA-896,5
180936,ANT(6)-Ib,5
68410,AAC(6')-Ib9,5
124786,AAC(6')-Ib9,5
44632,CARB-3,5
19975,ANT(3'')-IIa,5
19821,APH(3')-IIa,5
230,APH(3')-IIa,5
147239,tet(32),5
147236,qacJ,5
65159,sul1,5
19804,aadA,5
67015,sul1,5
238,TEM-19,5
21119,qacEdelta1,5
147074,mecA,5
19272,sul2,5
19268,sul2,5
19181,aadA25,5
19151,AAC(6')-Ib7,5
44941,aadA8b,5
65969,TEM-33,5
104159,qacE,5
149154,mecR1,5
68898,AAC(6')-Ib9,5
17506,pp_cat,5
6490,PmrF,5
9044,ANT(3'')-IIc,5
17422,oqxA,5
6489,mdtG,5
143809,APH(3')-VIb,5
143718,qacL,5
6481,Ecol_emrE,5
57931,dfrA1,5
112213,TEM-81,5
25037,arr-3,5
9183,tet(A),5
6622,Ecol_EFTu_PLV,5
6476,Ecol_acrA,5
6474,msbA,5
9381,MCR-4.3,5
16653,emrR,5
16629,TEM-1,5
31499,APH(6)-Id,5
169777,PC1_blaZ,5
16489,ANT(3'')-IIa,5
6434,Ecol_soxS_MULT,5
9703,SHV-11,5
25986,qacE,5
26098,catB3,5
9208,OXA-9,5
8597,AAC(6')-Ib4,5
23137,AAC(3)-IIe,5
45604,EreB,5
59621,qacJ,5
8956,floR,5
8959,dfrA26,5
18212,adeF,5
18194,tet(A),5
6533,bacA,5
73060,AAC(3)-IIe,5
8994,AAC(6')-Ib-cr6,5
110774,AAC(6')-Ib9,5
17509,sul2,5
9000,QnrS4,5
6506,Ecol_GlpT_FOF,5
23824,aadA3,5
9004,tet(A),5
17785,APH(3'')-Ib,5
111088,APH(3'')-Ib,5
6504,kdpE,5
144591,rsmA,5
6502,mdtM,5
6500,mdtE,5
17602,floR,5
6498,mdtA,5
17513,sul2,5
6508,Ecol_MarR_MULT,5
14841,baeS,5
87049,sul1,5
3383,CARB-53,5
83333,OXA-233,5
14840,baeR,5
80053,tet(M),5
12216,CTX-M-150,5
13839,EreA2,5
169398,qacJ,5
14823,mdtP,5
80596,sul1,5
14814,kdpE,5
169397,qacJ,5
174259,tet(O/W/32/O),5
80943,qacJ,5
169377,fexA,5
38970,aadA,5
40216,TEM-196,5
49022,tet(A),5
41544,qacEdelta1,5
33550,AAC(6')-Ib-cr6,5
127102,APH(6)-Id,5
33704,APH(3')-Ia,5
13585,AAC(6')-Ib-cr6,5
14842,mdtC,5
13571,aadA8,5
85794,AAC(6')-Ib-cr6,5
13468,OXA-35,5
14446,sul1,5
79756,aadA2,5
208205,AAC6_Ie_APH2_Ia,5
48193,aadA,5
14466,aadA,5
40101,qacE,5
36069,TEM-6,5
14699,aadA,5
49785,qacE,5
36339,APH(3'')-Ib,5
14643,aadA15,5
82635,qacG,5
47600,sul1,5
